N	Familia	Genero	species	Autor	Sinonimos	Referencias	Taxones_infraespeceficos	Habito	Origen	Cat	Especimen_Representativo	Notas	Regiones_Biogeograficas	Elevacion_Minima	Elevacion_Maxima	Departamentos	Distribucion_global
1002	ASTERACEAE	Conyza	Conyza chionea	S.D?az & A.Correa		D?az-P. & Correa 2001		Hierba	Nativa	No Evaluada	Soejarto 2180 (COL)	Conocida solo del tipo	Andes	3600 m	3600 m	Caldas	Cordillera Central
1003	ASTERACEAE	Conyza	Conyza perijaensis	S.D?az & A.Correa		D?az-P. & Correa 2001		Hierba	Nativa	No Evaluada	"Rangel 11121 (HT: COL	 IT: COL)"	Tipo de Colombia	Andes	2700 m	3460 m	Cesar, La Guajira	Serran?a de Perij?
1004	ASTERACEAE	Corethamnium	Corethamnium chocoensis	R.M.King & H.Rob.		King & Robinson 1978c, King & Robinson 1987		Arbusto	Nativa	No Evaluada	Core 319 (HT: US)	Conocida solo del tipo	Andes	2680 m	2680 m	Choc?	Cordillera Occidental
1005	ASTERACEAE	Critoniella	Critoniella albertosmithii	(B.L.Rob.) R.M.King & H.Rob.	Eupatorium albertosmithii B.L.Rob.	Robinson 1928, King & Robinson 1987		Arbusto	Nativa	No Evaluada	Killip 14967 (HT: GH)	Tipo de Colombia	Valle del Magdalena	150 m	300 m	Santander	Cordillera Oriental
1006	ASTERACEAE	Critoniella	Critoniella lebrijensis	(B.L.Rob.) R.M.King & H.Rob.		Robinson 1928, King & Robinson 1987		Arbusto	Nativa	No Evaluada	"Killip 16322 (HT: GH	 IT: NY, US)"	Tipo de Colombia	Andes, Valle del Magdalena	400 m	700 m	Santander	Cordillera Oriental
1007	ASTERACEAE	Critoniella	Critoniella tenuifolia	(Kunth) R.M.King & H.Rob.	Critonia tenuifolia (Kunth) V.M.Badillo, Eupatorium tenuifolium Kunth	King & Robinson 1987		Hierba	Nativa	No Evaluada	Gentry 24218 (MO)		Andes	2300 m	2400 m	Antioquia, Choc?	Cordillera Occidental
1008	ASTERACEAE	Critoniopsis	Critoniopsis bitriflora	(Cuatrec.) H.Rob.	Vernonia bitriflora Cuatrec.	Robinson 1999		?rbol	Nativa	No Evaluada	Pennell 9361 (T: US)	Conocida solo del tipo	Andes	2800 m	3100 m	Caldas	Cordillera Central
1009	ASTERACEAE	Critoniopsis	Critoniopsis brachystephana	(Cuatrec.) H.Rob.	Vernonia brachystephana Cuatrec.	Robinson 1999		Arbolito	Nativa	No Evaluada	Cuatrecasas 21681 (T: F)	Conocida solo del tipo	Andes	2500 m	2500 m	Caldas, Valle	Cordillera Occidental
1010	ASTERACEAE	Critoniopsis	Critoniopsis cinerea	S.D?az & Obando		Robinson 1999, D?az-P. & Obando 2002		?rbol	Nativa	No Evaluada	"D?az 4381 (HT: COL	 IT: COL, MA, US)"	Conocida solo del tipo	Andes	2200 m	2200 m	Boyac?	Cordillera Oriental
1011	ASTERACEAE	Critoniopsis	Critoniopsis cuatrecasasii	H.Rob.		Robinson 1999		?rbol	Nativa	No Evaluada	Cuatrecasas 27811 (HT: US)	Tipo de Colombia	Andes	2900 m	2900 m	Boyac?	Cordillera Oriental
1012	ASTERACEAE	Critoniopsis	Critoniopsis franciscana	(Cuatrec.) H.Rob.	Vernonia franciscana Cuatrec.	Robinson 1999		?rbol	Nativa	No Evaluada	Cuatrecasas 11567 (US)	Tipo de Colombia	Andes	2200 m	2200 m	Putumayo	Nudo de los Pastos
1013	ASTERACEAE	Critoniopsis	Critoniopsis glandulata	(Cuatrec.) H.Rob.	Vernonia glandulata Cuatrec.	Robinson 1999		?rbol	Nativa	No Evaluada	Fern?ndez-Alonso 11761 (COL)		Andes	1750 m	2700 m	Boyac?, Cundinamarca, Norte de Santander, Santander	Cordillera Oriental
1014	ASTERACEAE	Critoniopsis	Critoniopsis huilensis	(Cuatrec.) H.Rob.	Vernonia huilensis Cuatrec.	Robinson 1999		Arbolito	Nativa	No Evaluada	Little 7501 (COL)	Tipo de Colombia	Andes	2438 m	2438 m	Huila	Cordillera Oriental
1015	ASTERACEAE	Critoniopsis	Critoniopsis killipii	(Cuatrec.) H.Rob.	Vernonia killipii Cuatrec.	Robinson 1999		Arbolito	Nativa	No Evaluada	Keeley 4468 (COL)	Tipo de Colombia	Andes	2580 m	2580 m	Norte de Santander	Cordillera Oriental
1016	ASTERACEAE	Critoniopsis	Critoniopsis lindenii	Sch.Bip.		Robinson 1999		?rbol	Nativa	No Evaluada	de Escobar 5886 (COL)		Andes	1970 m	2850 m	Antioquia, Caldas, Cundinamarca, Quind?o, Tolima	Cordillera Central
1017	ASTERACEAE	Critoniopsis	Critoniopsis mucida	(Cuatrec.) H.Rob.	Vernonia mucida Cuatrec.	Robinson 1999		Arbolito	Nativa	No Evaluada	Cuatrecasas 21624 (T: F)	Conocida solo del tipo	Andes	1900 m	2100 m	Antioquia, Caldas, Risaralda, Valle	Cordillera Occidental
1018	ASTERACEAE	Critoniopsis	Critoniopsis pallida	(Cuatrec.) H.Rob.	Vernonia pallida Cuatrec.	Robinson 1999		?rbol	Nativa	No Evaluada	"P?rez-Arbel?ez 6120 (HT: US	 IT: COL, F)"		Andes	2450 m	2600 m	Cauca, Choc?, Huila	Cordilleras Central y Oriental
1019	ASTERACEAE	Critoniopsis	Critoniopsis pendula	(Cuatrec.) H.Rob.	Vernonia pendula Cuatrec.	Robinson 1999		Arbusto	Nativa	No Evaluada	Killip 19474 (T: US)	Conocida solo del tipo	Andes	1900 m	2100 m	Norte de Santander, Santander	Cordillera Oriental
1020	ASTERACEAE	Critoniopsis	Critoniopsis popayanensis	(Cuatrec.) H.Rob.	Vernonia popayanensis Cuatrec.	Robinson 1999		?rbol	Nativa	No Evaluada	"Triana 1121 (HT: P	 IT: MO, NY, P)"	Tipo de Colombia	Andes	1770 m	1830 m	Antioquia, Cauca, Quind?o	Cordillera Central
1021	ASTERACEAE	Critoniopsis	Critoniopsis unguiculata	(Cuatrec.) H.Rob.	Vernonia unguiculata Cuatrec.	Robinson 1999		Arbolito	Nativa	No Evaluada	Cuatrecasas 21699 (T: F)	Conocida solo del tipo	Andes	2950 m	2950 m	Valle	Cordillera Occidental
1022	ASTERACEAE	Critoniopsis	Critoniopsis uniflosculosa	(Cuatrec.) H.Rob.	Vernonia uniflosculosa Cuatrec.	Robinson 1999		Arbolito	Nativa	No Evaluada	Kernan 148 (IT: NY)	Tipo de Colombia	Sierra Nevada de Santa Marta	2880 m	2880 m	Magdalena	
1023	ASTERACEAE	Critoniopsis	Critoniopsis uribei	H.Rob.		Robinson 1999		?rbol	Nativa	No Evaluada	Cort?s 2988 (COL)	Tipo de Colombia	Andes	2000 m	3500 m	Boyac?	Cordillera Oriental
1024	ASTERACEAE	Critoniopsis	Critoniopsis ursicola	(Cuatrec.) H.Rob.	Vernonia ursicola Cuatrec.	Robinson 1999		?rbol	Nativa	No Evaluada	"Cuatrecasas 20953 (HT: F	 IT: P, F)"	Tipo de Colombia	Andes	2680 m	2900 m	Caldas, Nari?o, Risaralda, Tolima, Valle	Cordillera Central
1025	ASTERACEAE	Critoniopsis	Critoniopsis zarucchii	H.Rob.		Robinson 1999		Trepadora	Nativa	No Evaluada	Zarucchi 4374 (COL)		Andes	2420 m	2420 m	Antioquia	Cordillera Central
1026	ASTERACEAE	Dendrophorbium	Dendrophorbium arboluco	(Cuatrec.) C.Jeffrey	Senecio arboluco Cuatrec.	Jeffrey 1992, D?az-P. & Cuatrecasas 1999		Arbusto	Nativa	No Evaluada	"Cuatrecasas 19216 (HT: F	 IT: COL)"	Tipo de Colombia	Andes	2700 m	2800 m	Cauca	Cordillera Central
1027	ASTERACEAE	Dendrophorbium	Dendrophorbium chingualense	(Cuatrec.) S.D?az & Cuatrec.	Senecio chingualensis Cuatrec.	Jeffrey 1992, D?az-P. & Cuatrecasas 1999		Arbusto, Arbolito	Nativa	No Evaluada	"Ewan 16212 (HT: F	 IT: US)"	Tipo de Colombia	Andes	1900 m	2600 m	Nari?o	Nudo de los Pastos
1028	ASTERACEAE	Dendrophorbium	Dendrophorbium silvani	(Cuatrec.) C.Jeffrey	Senecio silvani Cuatrec.	Jeffrey 1992, D?az-P. & Cuatrecasas 1999		Subarbusto, Arbusto	Nativa	No Evaluada	"Cuatrecasas 21698 (HT: F	 IT: COL)"	Tipo de Colombia	Andes	2950 m	2950 m	Cauca, Valle	Cordillera Occidental
1029	ASTERACEAE	Diplostephium	Diplostephium alveolatum	Cuatrec.		Cuatrecasas 1969		Arbusto	Nativa	No Evaluada	Cleef 8781 (COL)		Andes	3400 m	4450 m	Antioquia, Arauca, Boyac?, Caldas, Choc?, Cundinamarca, Meta, Risaralda	Cordillera Oriental
1030	ASTERACEAE	Diplostephium	Diplostephium anactinotum	Wedd.		Cuatrecasas 1969		Subarbusto, Arbusto	Nativa	No Evaluada	Cuatrecasas 24557 (COL)		Sierra Nevada de Santa Marta	3450 m	4430 m	La Guajira, Magdalena	
1031	ASTERACEAE	Diplostephium	Diplostephium antioquense	Cuatrec.		Cuatrecasas 1969		Arbusto	Nativa	No Evaluada	"Cuatrecasas 24226 (HT: US	 IT: MEDEL, NY, P, US)"	Tipo de Colombia	Andes	3150 m	3640 m	Antioquia, Cauca	Cordillera Central
1032	ASTERACEAE	Diplostephium	Diplostephium apiculatum	S.F.Blake		Cuatrecasas 1969		Arbusto	Nativa	No Evaluada	"Killip 19571 (HT: US	 IT: NY)"	Tipo de Colombia	Andes	3800 m	4160 m	Norte de Santander, Santander	Cordillera Oriental
1033	ASTERACEAE	Diplostephium	Diplostephium camargoanum	Cuatrec.		Cuatrecasas 1969		Subarbusto, Arbusto	Nativa	No Evaluada	Huertas 6309 (HT: US)	Tipo de Colombia	Andes	2500 m	3100 m	Boyac?, Santander	Cordillera Oriental
1034	ASTERACEAE	Diplostephium	Diplostephium chrysotrichum	S.D?az & Restrepo				Subarbusto	Nativa	No Evaluada	Restrepo 189 (COL)		Andes	3640 m	3710 m	Tolima	Cordillera Central
1035	ASTERACEAE	Diplostephium	Diplostephium colombianum	(Cuatrec.) Cuatrec.	Piofontia colombiana Cuatrec.	Cuatrecasas 1953		Arbusto	Nativa	No Evaluada	Jaramillo 924 (COL)		Andes	990 m	4500 m	Arauca, Boyac?, Santander	Cordillera Oriental
1036	ASTERACEAE	Diplostephium	Diplostephium coriaceum	Cuatrec.		Cuatrecasas 1969		Arbusto	Nativa	No Evaluada	Barclay 6691 (COL)		Sierra Nevada de Santa Marta	3100 m	3410 m	Magdalena	
1037	ASTERACEAE	Diplostephium	Diplostephium crassifolium	Cuatrec.		Cuatrecasas 1969		Arbusto, ?rbol	Nativa	No Evaluada	Grant 10865 (HT: NA)	Tipo de Colombia	Andes	2900 m	3600 m	Cesar, La Guajira, Magdalena	Serran?a de Perij?
1038	ASTERACEAE	Diplostephium	Diplostephium cyparissias	Wedd.		Cuatrecasas 1969		Arbusto	Nativa	No Evaluada	Cuatrecasas 24648 (COL)		Sierra Nevada de Santa Marta	3450 m	4000 m	La Guajira, Magdalena	
1039	ASTERACEAE	Diplostephium	Diplostephium dentatum	Cuatrec.		Cuatrecasas 1969		Arbolito	Nativa	No Evaluada	Murillo 1273 (COL)	Tipo de Colombia	Andes	2800 m	3100 m	Norte de Santander	Cordillera Oriental
1040	ASTERACEAE	Diplostephium	Diplostephium ellipticum	Cuatrec.		Cuatrecasas 1969		Arbolito	Nativa	No Evaluada	Cuatrecasas 12336 (COL)	Tipo de Colombia	Andes	2600 m	2750 m	Norte de Santander	N Cordillera Oriental
1041	ASTERACEAE	Diplostephium	Diplostephium eriophorum	Wedd.		Cuatrecasas 1969		Arbusto	Nativa	No Evaluada	Goudot s.n. (HT: G)	Tipo de Colombia	Andes	3330 m	4800 m	Antioquia, Caldas, Cauca, Choc?, Nari?o, Risaralda, Tolima, Valle	Cordillera Central
1042	ASTERACEAE	Diplostephium	Diplostephium farallonense	(Cuatrec.) Cuatrec.	Diplostephium floribundum subsp. farallonense Cuatrec.	Cuatrecasas 1969		Arbusto	Nativa	No Evaluada	Downey 96 (?)	Tipo de Colombia	Andes	3580 m	4000 m	Antioquia, Boyac?, Caldas, Cauca, Cundinamarca, Huila, Nari?o, Putumayo, Quind?o, Risaralda, Tolima, Valle	Cordillera Central
1043	ASTERACEAE	Diplostephium	Diplostephium fernandez-alonsoi	S.D?az		Cuatrecasas 1969		Subarbusto	Nativa	No Evaluada	Fern?ndez 14861 (HT: COL)	Tipo de Colombia	Andes	3250 m	3300 m	Huila	Cordillera Central
1044	ASTERACEAE	Diplostephium	Diplostephium fosbergii	Cuatrec.		Cuatrecasas 1969		Arbusto, Arbolito, ?rbol	Nativa	No Evaluada	Fosberg 20912 (HT: F)	Tipo de Colombia	Andes	2970 m	3445 m	Huila, Meta	Cordillera Oriental
1045	ASTERACEAE	Diplostephium	Diplostephium frontinense	Cuatrec.		Cuatrecasas 1969		Arbusto, Arbolito	Nativa	No Evaluada	MacDougal 4424 (IT: MO)	Tipo de Colombia	Andes	3200 m	3600 m	Antioquia	Cordillera Occidental
1046	ASTERACEAE	Diplostephium	Diplostephium heterophyllum	Cuatrec.		Cuatrecasas 1969		Arbusto	Nativa	No Evaluada	D?az-Piedrahita 304 (COL)		Andes	3100 m	4040 m	Cundinamarca, Meta	Cordillera Oriental
1047	ASTERACEAE	Diplostephium	Diplostephium huertasii	Cuatrec.		Cuatrecasas 1969		Arbusto	Nativa	No Evaluada	D?az-Piedrahita 2723 (COL)		Andes	2850 m	3450 m	Boyac?, Casanare, Cauca, Cundinamarca, Meta	Cordillera Oriental
1048	ASTERACEAE	Diplostephium	Diplostephium inesianum	Cuatrec.		Cuatrecasas 1969		Arbusto	Nativa	No Evaluada	Barclay 6546 (COL)		Sierra Nevada de Santa Marta	3140 m	4500 m	Cesar, Magdalena	
1049	ASTERACEAE	Diplostephium	Diplostephium jaramilloi	Cuatrec.		Cuatrecasas 1969		Arbusto	Nativa	No Evaluada	"Cuatrecasas 28667 (HT: US	 IT: COL)"	Tipo de Colombia	Andes	2000 m	2900 m	Boyac?	Cordillera Oriental
1050	ASTERACEAE	Diplostephium	Diplostephium jenesanum	S.D?az & Morales-P.				Arbolito	Nativa	No Evaluada	"Rojas 14 (HT: UPTC	 IT: COL)"	Tipo de Colombia	Andes	2500 m	2500 m	Boyac?	Cordillera Oriental
1051	ASTERACEAE	Diplostephium	Diplostephium juajibioyi	Cuatrec.		Cuatrecasas 1969	Diplostephium juajibioyi subsp. leucopappum Cuatrec.	Arbusto	Nativa	No Evaluada	"Barclay 10388 (HT: US	 IT: MO)"	Tipo de Colombia	Andes	3530 m	3900 m	Arauca, Boyac?, Cundinamarca, Santander	Cordillera Oriental
1052	ASTERACEAE	Diplostephium	Diplostephium lacunosum	Cuatrec.		Cuatrecasas 1969		Arbusto	Nativa	No Evaluada	Cuatrecasas 1443 (HT: F)	Tipo de Colombia	Andes	3800 m	4300 m	Arauca, Boyac?	Cordillera Oriental
1053	ASTERACEAE	Diplostephium	Diplostephium leiocladum	S.F.Blake		Cuatrecasas 1969		Arbusto	Nativa	No Evaluada	Pennell 10531 (US)	Conocida solo del tipo	Andes	3300 m	3500 m	Caldas	Cordillera Occidental
1054	ASTERACEAE	Diplostephium	Diplostephium micradenium	S.F.Blake		Cuatrecasas 1969		Arbusto	Nativa	No Evaluada	Torres 1655 (COL)		Andes	3500 m	3500 m	Caldas, Risaralda	Cordillera Occidental
1055	ASTERACEAE	Diplostephium	Diplostephium mutiscuanum	Cuatrec.		Cuatrecasas 1969		Arbusto	Nativa	No Evaluada	"Killip 19708 (HT: US	 IT: A, GH)"		Andes	2000 m	3400 m	Caldas, Norte de Santander	N Cordillera Oriental
1056	ASTERACEAE	Diplostephium	Diplostephium nevadense	Cuatrec.		Cuatrecasas 1969		Subarbusto	Nativa	No Evaluada	Cuatrecasas 24440 (COL)	Tipo de Colombia	Sierra Nevada de Santa Marta	3260 m	4700 m	Magdalena	
1057	ASTERACEAE	Diplostephium	Diplostephium oblongifolium	Cuatrec.		Cuatrecasas 1969		Arbolito	Nativa	No Evaluada	Cuatrecasas 10238 (COL)	Tipo de Colombia	Andes	2770 m	2770 m	Norte de Santander	N Cordillera Oriental
1058	ASTERACEAE	Diplostephium	Diplostephium ocanense	Cuatrec.		Cuatrecasas 1969		Arbusto	Nativa	No Evaluada	Kalbreyer 1199 (K)	Conocida solo del tipo	Andes	3300 m	3500 m	Norte de Santander	Cordillera Oriental
1059	ASTERACEAE	Diplostephium	Diplostephium ochraceum	(Kunth) Nees	Aster ochraceus Kunth, Diplostephium denticulatum S.F.Blake, Tetramolopium ochraceum (Kunth) DC.	Cuatrecasas 1969		Arbusto, ?rbol	Nativa	No Evaluada	Cuatrecasas 6705 (COL)		Andes	2650 m	3950 m	Antioquia, Boyac?, Cundinamarca, Meta, Santander, Tolima, Valle	Cordillera Oriental
1060	ASTERACEAE	Diplostephium	Diplostephium parvifolium	S.F.Blake	Diplostephium microphyllum (Sch.Bip.) Wedd., Linochilus microphyllus Sch.Bip.	Cuatrecasas 1969		Subarbusto, Arbusto	Nativa	No Evaluada	Barclay 7053 (COL)	Tipo de Colombia	Sierra Nevada de Santa Marta	3000 m	4500 m	Cesar, La Guajira, Magdalena	
1061	ASTERACEAE	Diplostephium	Diplostephium perijaense	S.D?az & G.P.M?ndez				Arbolito	Nativa	No Evaluada	Rangel 11212 (HT: COL)	Tipo de Colombia	Andes	2200 m	3012 m	Cesar, La Guajira	Serran?a de Perij?
1062	ASTERACEAE	Diplostephium	Diplostephium phylicoides	(Kunth) Wedd.	Aster crassifolius Klatt, Aster phylicoides Kunth, Diplostephium umbelliferum S.F.Blake, Linochilus phylicoides Sch.Bip., Tetramolopium phylicoides DC.	Cuatrecasas 1969		Arbusto	Nativa	No Evaluada	Garc?a-Barriga 8114 (COL)		Andes	2120 m	3800 m	Boyac?, Cundinamarca, Magdalena, Meta	Cordillera Oriental
1063	ASTERACEAE	Diplostephium	Diplostephium pittieri	Cuatrec.		Cuatrecasas 1969		Arbolito	Nativa	No Evaluada	Cuatrecasas 26327 (COL)		Andes	3280 m	3600 m	Cauca, Huila, Tolima, Valle	Cordillera Central
1064	ASTERACEAE	Diplostephium	Diplostephium rangelii	Cuatrec.		Cuatrecasas 1969		Arbusto	Nativa	No Evaluada	Rangel 994 (IT: COL)	Tipo de Colombia	Andes	3850 m	3850 m	Magdalena	
1065	ASTERACEAE	Diplostephium	Diplostephium ritterbushii	Cuatrec.		Cuatrecasas 1969		Arbusto	Nativa	No Evaluada	Ritterbush s.n. (HT: US)	Tipo de Colombia	Andes	4200 m	4300 m	Huila	Cordillera Central
1066	ASTERACEAE	Diplostephium	Diplostephium romeroi	Cuatrec.		Cuatrecasas 1969		Arbusto	Nativa	No Evaluada	Barclay 6775 (COL)	Tipo de Colombia	Sierra Nevada de Santa Marta	3140 m	3440 m	Magdalena	
1067	ASTERACEAE	Diplostephium	Diplostephium santamartae	Cuatrec.		Cuatrecasas 1969		?rbol	Nativa	No Evaluada	Rangel 928 (HT: COL)	Tipo de Colombia	Sierra Nevada de Santa Marta	3000 m	3450 m	Magdalena	
1068	ASTERACEAE	Diplostephium	Diplostephium saxatile	Cuatrec.		Cuatrecasas 1969		Arbusto, Arbolito	Nativa	No Evaluada	Rangel 3850 (COL)		Andes	3770 m	4050 m	Cesar, Magdalena	
1069	ASTERACEAE	Diplostephium	Diplostephium tamanum	Cuatrec.		Cuatrecasas 1969		Arbolito	Nativa	No Evaluada	Cuatrecasas 12710 (COL)	Tipo de Colombia	Andes	3000 m	3200 m	Norte de Santander, Santander	N Cordillera Oriental
1070	ASTERACEAE	Diplostephium	Diplostephium tenuifolium	Cuatrec.		Cuatrecasas 1969		Arbolito, ?rbol	Nativa	No Evaluada	Jaramillo 863 (COL)		Andes	2200 m	3900 m	Boyac?, Cesar, Cundinamarca, La Guajira, Meta, Santander	Cordillera Oriental
1071	ASTERACEAE	Diplostephium	Diplostephium tergocanum	Cuatrec.		Cuatrecasas 1969		Arbusto	Nativa	No Evaluada	Barclay 6752 (MO)	Conocida solo del tipo	Andes, Sierra Nevada de Santa Marta	3770 m	3840 m	Magdalena	
1072	ASTERACEAE	Diplostephium	Diplostephium tolimense	Cuatrec.	Diplostephium boyacense Cuatrec.	Cuatrecasas 1969		Arbusto, Arbolito	Nativa	No Evaluada	Cuatrecasas 2884 (T: MA)	Tipo de Colombia	Andes	3070 m	4000 m	Boyac?, Caldas, Choc?, Cundinamarca, Santander, Tolima, Valle	Cordillera Central
1073	ASTERACEAE	Diplostephium	Diplostephium violaceum	Cuatrec.		Cuatrecasas 1969		Arbusto	Nativa	No Evaluada	Barclay 6302 (COL)		Andes	3400 m	3700 m	Caldas	Cordillera Central
1074	ASTERACEAE	Diplostephium	Diplostephium weddellii	S.F.Blake	Diplostephium sessiliflorum Wedd.	Cuatrecasas 1969		Arbusto	Nativa	No Evaluada	Rangel 990 (COL)	Tipo de Colombia	Sierra Nevada de Santa Marta	3100 m	4400 m	La Guajira, Magdalena	
1075	ASTERACEAE	Dipterocypsela	Dipterocypsela succulenta	S.F.Blake		Robinson 1999		Hierba, Arbusto	Nativa	No Evaluada	Haught 3796 (IT: COL)	Conocida solo del tipo	Llanura del Caribe	150 m	150 m	Magdalena	
1076	ASTERACEAE	Dresslerothamnus	Dresslerothamnus gentryi	H.Rob.		D?az-P. & Cuatrecasas 1999		Trepadora	Nativa	No Evaluada	"Gentry 55603 (HT: US	 IT: MO)"	Tipo de Colombia	Pac?fico	40 m	65 m	Valle	
1077	ASTERACEAE	Eclipta	Eclipta leiocarpa	Cuatrec.	Verbesina prostrata L.	Cuatrecasas 1954a		Hierba	Nativa	No Evaluada	Cuatrecasas 8255 (IT: COL)	Conocida solo del tipo	Andes	1400 m	1500 m	Cundinamarca	Cordillera Oriental
1078	ASTERACEAE	Egletes	Egletes repens	Shinners		Pruski 1997		Hierba	Nativa	No Evaluada	Cuatrecasas 3922 (COL)	Tipo de Colombia	Orinoquia	130 m	130 m	Casanare, Meta	E Colombia,  Venezuela
1079	ASTERACEAE	Egletes	Egletes tenuifolia	Cuatrec.		Cuatrecasas 1969		Hierba	Nativa	No Evaluada	Bechara 19 (COL)		Llanura del Caribe	30 m	30 m	Bol?var	
1080	ASTERACEAE	Elaphandra	Elaphandra archeri	(H.Rob. & Brettell) H.Rob.	Aspilia archeri H.Rob. & Brettell	Robinson 1992, Id?rraga et al. 2011		Arbusto	Nativa	No Evaluada	Archer 2173 (HT: US)	Tipo de Colombia	Andes, Pac?fico	80 m	2650 m	Antioquia, Choc?, Risaralda	
1081	ASTERACEAE	Elaphandra	Elaphandra macrolepis	(S.F.Blake) H.Rob.	Aspilia macrolepis S.F.Blake	Blake 1924a, Robinson 1992		Hierba	Nativa	No Evaluada	Pittier 893 (HT: US)	Tipo de Colombia	Andes	1310 m	1310 m	Antioquia, Cauca	Cordillera Central
1082	ASTERACEAE	Ericentrodea	Ericentrodea ramirezii	H.Rob. & S.D?az		Robinson 1993		Hierba	Nativa	No Evaluada	"Ram?rez 4584 (HT: COL	 IT: US)"	Tipo de Colombia	Andes	2900 m	3200 m	Nari?o	Nudo de los Pastos
1083	ASTERACEAE	Espeletia	Espeletia annemariana	Cuatrec.		Cuatrecasas 1976, Diazgranados 2012, Cuatrecasas 2013	Espeletia annemariana var. rupicola Cuatrec.	Hierba, Arbusto	Nativa	Casi Amenazada	"Cleef 9296 (HT: US	 IT: COL, U)"	Tipo de Colombia	Andes	3100 m	4000 m	Boyac?, Santander	Cordillera Oriental
1084	ASTERACEAE	Espeletia	Espeletia arbelaezii	Cuatrec.		Cuatrecasas 1976, Diazgranados 2012, Cuatrecasas 2013		Hierba, Arbusto	Nativa	En Peligro	Cuatrecasas 1964 (HT: COL)	Tipo de Colombia	Andes	3000 m	3300 m	Boyac?	Cordillera Oriental
1085	ASTERACEAE	Espeletia	Espeletia argentea	Humb. & Bonpl.	Espeletia phaneractis (S.F.Blake) A.C.Sm.	Cuatrecasas 1976, Diazgranados 2012, Cuatrecasas 2013	Espeletia argentea f. phaneractis (S.F.Blake) Cuatrec.	Hierba, Arbusto	Nativa	Preocupaci?n Menor	Cuatrecasas 10476 (COL)	Tipo de Colombia	Andes	2600 m	3800 m	Boyac?, Caldas, Cesar, Cundinamarca, Meta, Santander	Cordillera Oriental
1086	ASTERACEAE	Espeletia	Espeletia ariana	Rodr.-Cabeza & S.D?az		D?az-P. et al. 2006, Diazgranados 2012, Cuatrecasas 2013		Hierba, Arbusto	Nativa	No Evaluada	"Rodr?guez-Cabeza 1454 (HT: COL	 IT: UIS)"	Tipo de Colombia	Andes	3600 m	3600 m	Boyac?	Cordillera Oriental
1087	ASTERACEAE	Espeletia	Espeletia azucarina	Cuatrec.		Cuatrecasas 1976, Diazgranados 2012, Cuatrecasas 2013		Hierba, Arbusto	Nativa	Vulnerable	"Cleef 9835 (HT: US	 IT: COL, U)"	Conocida solo del tipo	Andes	4000 m	4000 m	Boyac?	Cordillera Oriental
1088	ASTERACEAE	Espeletia	Espeletia barclayana	Cuatrec.		Cuatrecasas 1976, Diazgranados 2012, Cuatrecasas 2013		Hierba, Arbusto	Nativa	Preocupaci?n Menor	"Cleef 4174 (HT: US	 IT: COL, U)"	Tipo de Colombia	Andes	3100 m	3785 m	Boyac?, Cundinamarca	Cordillera Oriental
1089	ASTERACEAE	Espeletia	Espeletia boyacensis	Cuatrec.	Espeletia phaneractis subsp. boyacensis Cuatrec.	Cuatrecasas 1976, Diazgranados 2012, Cuatrecasas 2013		Hierba, Arbusto	Nativa	Preocupaci?n Menor	Cuatrecasas 27795 (T: COL, US)	Tipo de Colombia	Andes	2345 m	3900 m	Boyac?, Cundinamarca, Magdalena, Santander	Cordillera Oriental
1090	ASTERACEAE	Espeletia	Espeletia brachyaxiantha	S.D?az		Cuatrecasas 1976, Diazgranados 2012, Cuatrecasas 2013		Hierba, Arbusto	Nativa	En Peligro	Cleef 2326 (HT: COL)	Tipo de Colombia	Andes	3400 m	3900 m	Boyac?, Santander	Cordillera Oriental
1091	ASTERACEAE	Espeletia	Espeletia cabrerensis	Cuatrec.		Cuatrecasas 1976, Diazgranados 2012, Cuatrecasas 2013		Hierba, Arbusto	Nativa	Vulnerable	"Uribe-Uribe 6400 (HT: US	 IT: COL)"	Tipo de Colombia	Andes	3200 m	3200 m	Cundinamarca	Cordillera Oriental
1092	ASTERACEAE	Espeletia	Espeletia cachaluensis	Rodr.-Cabeza & S.D?az		D?az-P. & Rodr?guez-Cabeza 2008, Diazgranados 2012, Cuatrecasas 2013		Hierba, Arbusto	Nativa	No Evaluada	"Rodr?guez-Cabeza 1897 (HT: COL	 IS: COL, UIS)"	Conocida solo del tipo	Andes	3744 m	3744 m	Santander	Cordillera Oriental
1093	ASTERACEAE	Espeletia	Espeletia canescens	A.C.Sm.		Cuatrecasas 1976, Diazgranados 2012, Cuatrecasas 2013		Arbusto	Nativa	No Evaluada	"Killip 18624 (HT: NY	 IT: GH, PH, US)"	Conocida solo del tipo	Andes	3800 m	4200 m	Boyac?, Norte de Santander	Cordillera Oriental
1094	ASTERACEAE	Espeletia	Espeletia cayetana	(Cuatrec.) Cuatrec.	Espeletia grandiflora var. cayetana Cuatrec.	Cuatrecasas 1976, Diazgranados 2012, Cuatrecasas 2013		Hierba, Arbusto	Nativa	En Peligro	"Cleef 6508. (HT: US	 IT: COL, HPUJ, NY, U, US)"	Tipo de Colombia	Andes	3500 m	3785 m	Antioquia, Boyac?, Cundinamarca	Cordillera Oriental
