N	Familia	Genero	species	Autor	Sinonimos	Referencias	Taxones_infraespeceficos	Habito	Origen	Cat	Especimen_Representativo	Notas	Regiones_Biogeograficas	Elevacion_Minima	Elevacion_Maxima	Departamentos	Distribucion_global
5297	PASSIFLORACEAE	Passiflora	Passiflora bucaramangensis	Killip		Killip 1938, Hern?ndez 2003, Ocampo et al. 1974		Trepadora	Nativa	En Peligro	"Hartweg 1021 (HT: K	 IT: BM)"	Tipo de Colombia	Andes	1500 m	2600 m	Cundinamarca, Norte de Santander, Santander	Cordillera Oriental
5298	PASSIFLORACEAE	Passiflora	Passiflora callistemma	L.K.Escobar		Escobar 1994, Hern?ndez & Bernal 2000, Hern?ndez 2003		Trepadora	Nativa	Vulnerable	Funck 1381 (HT: BM)	Tipo de Colombia	Llanura del Caribe	100 m	100 m	Bol?var	N Colombia
5299	PASSIFLORACEAE	Passiflora	Passiflora candollei	Triana & Planch.	Decaloba lunata M.Roem., Passiflora lunata DC.	Killip 1938, Ocampo et al. 1974		Trepadora	Nativa	Preocupaci?n Menor	Betancur 2836 (COL, HUA, MO, US)		Amazonia, Andes	300 m	1500 m	Amazonas, Caquet?, Cundinamarca, Meta	Colombia a Per?
5300	PASSIFLORACEAE	Passiflora	Passiflora cauliflora	Harms		Killip 1938, Feuillet 2010		Trepadora	Nativa	Preocupaci?n Menor	Zarucchi 3545 (MO)		Amazonia, Orinoquia	80 m	300 m	Amazonas, Vichada	Colombia, Per?
5301	PASSIFLORACEAE	Passiflora	Passiflora colombiana	L.K.Escobar		Escobar 1988b, Hern?ndez & Bernal 2000		Trepadora	Nativa	En Peligro	Escobar 2841 (HT: HUA)	Tipo de Colombia	Andes	3000 m	3500 m	Nari?o, Putumayo	SO Colombia
5302	PASSIFLORACEAE	Passiflora	Passiflora cremastantha	Harms		Killip 1938, Escobar 1988b, Hern?ndez & Bernal 2000		Trepadora	Nativa	En Peligro Cr?tico	Lehmann 5421 (IT: F, G, K, NY)	Conocida solo del tipo	Andes	2000 m	2500 m	Cauca	
5303	PASSIFLORACEAE	Passiflora	Passiflora crispolanata	L.Uribe	Passiflora boyacana Killip	Escobar 1988b, Hern?ndez & Bernal 2000		Trepadora	Nativa	Vulnerable	Uribe 2552 (HT: COL)	Tipo de Colombia	Andes	2500 m	3500 m	Boyac?, Cundinamarca	Cordillera Oriental
5304	PASSIFLORACEAE	Passiflora	Passiflora cuatrecasasii	Killip		Killip 1938, Escobar 1988b, Hern?ndez & Bernal 2000		Trepadora	Nativa	Preocupaci?n Menor	"Cuatrecasas 9479 (HT: US	 IT: COL, US)"	Tipo de Colombia	Andes	2200 m	3500 m	Boyac?, Cundinamarca, Meta	Cordillera Oriental
5305	PASSIFLORACEAE	Passiflora	Passiflora danielii	Killip		Killip 1938, Hern?ndez & Bernal 2000, Ocampo et al. 1974		Trepadora	Nativa	Preocupaci?n Menor	Daniel 1536 (T: US)	Tipo de Colombia	Andes	1800 m	2000 m	Antioquia	Cordillera Central
5306	PASSIFLORACEAE	Passiflora	Passiflora dawei	Killip		Killip 1938, Hern?ndez & Bernal 2000, Hern?ndez 2003		Trepadora	Nativa	Vulnerable	"Dawe 57 (HT: K	 IT: US)"	Tipo de Colombia	Andes	1000 m	1600 m	Antioquia, Cundinamarca, Santander	Cordillera Oriental
5307	PASSIFLORACEAE	Passiflora	Passiflora emarginata	Bonpl.	Astrophea emarginata (Bonpl.) M.Roem., Passiflora caucaense Holm-Niels.	Killip 1938, Hern?ndez & Bernal 2000, Ocampo et al. 1974		Trepadora	Nativa	Preocupaci?n Menor	Bonpland s.n. (HT: P)	Tipo de Colombia	Andes	1500 m	2000 m	Cauca, Choc?, Nari?o, Tolima, Valle	
5308	PASSIFLORACEAE	Passiflora	Passiflora engleriana	Harms		Killip 1938, Hern?ndez & Bernal 2000, Ocampo et al. 1974		Trepadora	Nativa	En Peligro	Escobar 8853 (COL, HUA, MO)	Tipo de Colombia	Andes	1500 m	2000 m	Antioquia, Cundinamarca	Cordillera Central
5309	PASSIFLORACEAE	Passiflora	Passiflora erythrophylla	Mast.	Passiflora erubescens Triana & Planch., Passiflora micrantha Killip	Killip 1938, Hern?ndez & Bernal 2000, Hern?ndez 2003		Trepadora	Nativa	Vulnerable	"Goudot 2 (HT: K	 IT: F, GH)"	Tipo de Colombia	Andes	2000 m	2500 m	Boyac?, Cundinamarca	Cordillera Oriental
