species	Nombre_Esp	Nombre_Ing	Cat.	Paises	Region	Fuente
Odontophorus hyperythrus	Perdiz Colorada	Chestnut Wood-Quail	E		B3,B4,B6,C3,C4	
Odontophorus strophium	Perdiz Santandereana	Gorgeted Wood-Quail	E		B7	
Podiceps andinus	Zambullidor Cira	Colombian Grebe	E(x)		C5a	
Rallus semiplumbeus	Rasc?n Andino, Tingua Bogotana	Bogota Rail	E		C5	
Leptotila conoveri	Caminera Tolimense	Tolima Dove	E		B6,C4	
Hapalopsittaca fuertesi	Cotorra aliazul	Indigo-winged Parrot	E		C4,B5	4, 82, 140
Pyrrhura viridicata	Periquito Serrano	Santa Marta Parakeet	E		C1	
Pyrrhura calliptera	Periquito Aliamarillo	Brown-breasted Parakeet	E		B7,B8a,C5	
Bolborhynchus ferrugineifrons	Periquito de Los Nevados	Rufous-fronted Parakeet	E		C4	3, 4, 149, 150
Heliangelus zusii	Heli?ngelus de Bogot?	Bogota Sunangel	E		C5	
Anthocephala floriceps	Colibr? Cabecicasta?o	Blossomcrown	E		A1,A5,B1,B6	
Ramphomicron dorsale	Pico de Tuna Negro	Black-backed Thornbill	E		C1	
Eriocnemis isabellae	Zamarrito del Pinche	Gorgeted Puffleg	E		C3	8, 34
Eriocnemis mirabilis	Paramero de Munchique	Colorful Puffleg	E		B3,C3	
Coeligena prunellei	Inca Negro	Black Inca	E		B7,C5	
Coeligena phalerata	Inca Coliblanco	White-tailed Starfrontlet	E		B1,C1	
Coeligena orina	Inca de Frontino	Dusky Starfrontlet	E		C3	108
Chaetocercus astreans	Zumbador de Santa Marta	Santa Marta Woodstar	E		A1,B1	59, 137
Chlorostilbon olivaresi	Esmeralda de Chiribiquete	Chiribiquete Emerald	E		A8	2, 119
Campylopterus phainopeplus	Ala de Sable Serrano	Santa Marta Sabrewing	E		B1,C1	59
Amazilia castaneiventris	Amazilia Ventricasta?o	Chestnut-bellied Hummingbird	E		B7	25, 35
Amazilia cyanifrons	Amazilia Ci?neo	Indigo-capped Hummingbird	E		B7,B4	8, 82, 104, 121
Lepidopyga lilliae	Colibr? Cienaguero	Sapphire-bellied Hummingbird	E		A1	
Bucco noanamae	Bobo de Noanam?	Sooty-capped Puffbird	E		A3	
Capito hypoleucus	Torito Capiblanco	White-mantled Barbet	E		A2,B7,B5	42, 43, 49, 76, 77
Picumnus granadensis	Carpinterito Punteado	Grayish Piculet	E		B4,B3a	79, 129
Melanerpes pulcher	Carpintero Bello	Beautiful Woodpecker	E		A2,A5,B5,B7	
Synallaxis subpudica	Rastrojero Rabilargo	Silvery-throated Spinetail	E		B7,C5a	
Synallaxis fuscorufa	Rastrojero Serrano	Rusty-headed Spinetail	E		B1,C1	
Cranioleuca hellmayri	Rastrojero Coronado	Streak-capped Spinetail	E		B1,C1	
Automolus rufipectus	Hojarasquero de Santa Marta	Santa Marta Foliage-gleaner	E		A1,B1	
Drymophila hellmayri	Hormiguero de Santa Marta	Santa Marta Antbird	E		B1	66
Drymophila caudata	Hormiguero colilargo	Long-tailed Antbird	E		B6,B8b,C5	66
Cercomacra parkeri	Hormiguero de Parker	Parker's Antbird	E		B3,B5,B6,B7	52
Grallaria bangsi	Tororoi de Santa Marta	Santa Marta Antpitta	E		B1	
Grallaria kaestneri	Tororoi de Cundinamarca	Cundinamarca Antpitta	E		B8a	
Grallaria urraoensis	Tororoi de Urrao	Urrao Antpitta	E		C3	
Grallaria milleri	Tororoi de Miller	Brown-banded Antpitta	E		C4	
Scytalopus sanctaemartae	Tapaculo Ventrirrufo	Santa Marta Tapaculo	E		A1,B1	
Scytalopus latebricola	Tapaculo Rat?n	Brown-rumped Tapaculo	E		B1,C1	
Scytalopus rodriguezi	Tapaculo de Rodr?guez	Upper Magdalena Tapaculo	E		B6,B7	49, 70
Scytalopus stilesi	Tapaculo de Stiles	Stiles's Tapaculo	E		B5,B4b	40, 43
Scytalopus canus	Tapaculo de Paramillo	Paramillo Tapaculo	E		C3	73
Phylloscartes lanyoni	Tiranuelo Antioque?o	Antioquia Bristle-Tyrant	E		A2	64
Myiotheretes pernix	Atrapamoscas de Santa Marta	Santa Marta Bush-Tyrant	E		C1	138
Myiarchus apicalis	Atrapamoscas Apical	Apical Flycatcher	E		A2,A4,A5,B3a,B6, B7	
Lipaugus weberi	Arrierito Antioque?o	Chestnut-capped Piha	E		B5	38, 43
Vireo caribaeus	Vireo de San Andr?s	San Andres Vireo	E		A9	89
Troglodytes monticola	Cucarachero de Santa Marta	Santa Marta Wren	E		C1	87
Thryophilus sernai	Cucarachero Paisa	Antioquia Wren	E		A2	75
Thryophilus nicefori	Cucarachero de Nic?foro	Niceforo's Wren	E		B7	49
Cistothorus apolinari	Cucarachero de Apolinar	Apolinar's Wren	E		C5a	
Henicorhina negreti	Cucarachero de Munchique	Munchique Wood-Wren	E		B3,B4a,C3	8, 72, 126
Vireo approximans	Vireo de Providencia	Providence Vireo	E		A9	89
Mimus magnirostris	Sinsonte de San Andres	Sain Andrew Mockingbird	E		A9	7, 29, 89
Bangsia melanochlamys	Bangsia Negra y Oro	Black-and-gold Tanager	E		B3,B5	
Bangsia aureocincta	Bangsia de Tatam?	Gold-ringed Tanager	E		B3	58
Anisognathus melanogenys	Clarinero Serrano	Black-cheeked Mountain-Tanager	E		B1,C1	137, 138, 139
Chlorochrysa nitidissima	Clorocrisa Multicolor	Multicolored Tanager	E		B3,B4,B5	
Dacnis hartlaubi	Dacnis Turquesa	Turquoise Dacnis	E		A3,B3,B4,B6,B7, C5a	49, S. Chaparro obs.pers Cerro Quinini, Pedro Palo (C/marca)
Arremon basilicus	Pinz?n de la Sierra Nevada	Sierra Nevada Brush-Finch	E		B1,C1	17, 16, 87
Diglossa gloriosissima	Diglosa Pechirrufa	Chestnut-bellied Flowerpiercer	E		C3	65
