gbifID	datasetKey	occurrenceID	kingdom	phylum	class	order	family	genus	species	infraspecificEpithet	taxonRank	scientificName	verbatimScientificName	verbatimScientificNameAuthorship	countryCode	locality	stateProvince	occurrenceStatus	individualCount	publishingOrgKey	decimalLatitude	decimalLongitude	coordinateUncertaintyInMeters	coordinatePrecision	elevation	elevationAccuracy	depth	depthAccuracy	eventDate	day	month	year	taxonKey	speciesKey	basisOfRecord	institutionCode	collectionCode	catalogNumber	recordNumber	identifiedBy	dateIdentified	license	rightsHolder	recordedBy	typeStatus	establishmentMeans	lastInterpreted	mediaType	issue
4055583423	26776d49-2110-4201-b768-53e661fc2135	Promigas:Jobo-Sebastopol:WR0533	Animalia	Chordata	Aves	Passeriformes	Tyrannidae	Todirostrum	Todirostrum cinereum		SPECIES	Todirostrum cinereum (Linnaeus, 1766)	Todirostrum cinereum	(Linnaeus, 1766)	CO	Los Alpes	Córdoba	PRESENT	1	dbc2ab56-d499-403c-8db5-c1a49cd0b75f	8.488565	-75.364146			39.0	14.0			2022-08-04T00:00:00	4	8	2022	2483274	2483274	HUMAN_OBSERVATION	Promigas S.A E.S.P (Promigas)	MCUB		WilmerRamirez00533			CC_BY_NC_4_0		Wilmer Ramirez			2023-03-15T15:17:36.480Z		
4055583422	26776d49-2110-4201-b768-53e661fc2135	Promigas:Jobo-Sebastopol:WR0518	Animalia	Chordata	Aves	Piciformes	Picidae	Colaptes	Colaptes punctigula		SPECIES	Colaptes punctigula (Boddaert, 1783)	Colaptes punctigula	(Boddaert, 1783)	CO	Hacienda La Salomonica	Córdoba	PRESENT	1	dbc2ab56-d499-403c-8db5-c1a49cd0b75f	8.499683	-75.358271			39.0	14.0			2022-08-03T00:00:00	3	8	2022	2478237	2478237	HUMAN_OBSERVATION	Promigas S.A E.S.P (Promigas)	MCUB		WilmerRamirez00518			CC_BY_NC_4_0		Wilmer Ramirez			2023-03-15T15:17:36.480Z		
4055583421	26776d49-2110-4201-b768-53e661fc2135	Promigas:Jobo-Sebastopol:WR0519	Animalia	Chordata	Aves	Passeriformes	Tyrannidae	Tyrannus	Tyrannus savana		SPECIES	Tyrannus savana Vieillot, 1808	Tyrannus savana	Vieillot, 1808	CO	Hacienda La Salomonica	Córdoba	PRESENT	1	dbc2ab56-d499-403c-8db5-c1a49cd0b75f	8.499683	-75.358271			39.0	14.0			2022-08-03T00:00:00	3	8	2022	5229693	5229693	HUMAN_OBSERVATION	Promigas S.A E.S.P (Promigas)	MCUB		WilmerRamirez00519			CC_BY_NC_4_0		Wilmer Ramirez			2023-03-15T15:17:36.481Z		
4055583420	26776d49-2110-4201-b768-53e661fc2135	Promigas:Jobo-Sebastopol:WR0520	Animalia	Chordata	Aves	Columbiformes	Columbidae	Leptotila	Leptotila verreauxi		SPECIES	Leptotila verreauxi Bonaparte, 1855	Leptotila verreauxi	Bonaparte, 1855	CO	Hacienda La Salomonica	Córdoba	PRESENT	1	dbc2ab56-d499-403c-8db5-c1a49cd0b75f	8.499683	-75.358271			39.0	14.0			2022-08-03T00:00:00	3	8	2022	2496060	2496060	HUMAN_OBSERVATION	Promigas S.A E.S.P (Promigas)	MCUB		WilmerRamirez00520			CC_BY_NC_4_0		Wilmer Ramirez			2023-03-15T15:17:36.479Z		
4055583419	26776d49-2110-4201-b768-53e661fc2135	Promigas:Jobo-Sebastopol:P18P-1	Plantae	Tracheophyta	Magnoliopsida	Fabales	Fabaceae	Apuleia	Apuleia leiocarpa		SPECIES	Apuleia leiocarpa (Vogel) J.F.Macbr.	Apuleia leiocarpa	(Vogel) J.F.Macbr.	CO	El Indio	Córdoba	PRESENT		dbc2ab56-d499-403c-8db5-c1a49cd0b75f	8.005589	-75.294882			71.0	0.0			2022-07-06T00:00:00	6	7	2022	5353578	5353578	HUMAN_OBSERVATION	Promigas S.A E.S.P (Promigas)			P18P-1			CC_BY_NC_4_0		Paula Mojica			2023-03-15T15:17:36.508Z		
4055583418	26776d49-2110-4201-b768-53e661fc2135	Promigas:Jobo-Sebastopol:WR0527	Animalia	Chordata	Aves	Passeriformes	Thraupidae	Thraupis	Thraupis palmarum		SPECIES	Thraupis palmarum (zu Wied-Neuwied, 1821)	Thraupis palmarum	(zu Wied-Neuwied, 1821)	CO	Los Alpes	Córdoba	PRESENT	1	dbc2ab56-d499-403c-8db5-c1a49cd0b75f	8.488565	-75.364146			39.0	14.0			2022-08-03T00:00:00	3	8	2022	9436876	9436876	HUMAN_OBSERVATION	Promigas S.A E.S.P (Promigas)	MCUB		WilmerRamirez00527			CC_BY_NC_4_0		Wilmer Ramirez			2023-03-15T15:17:36.478Z		
4055583417	26776d49-2110-4201-b768-53e661fc2135	Promigas:Jobo-Sebastopol:WR0528	Animalia	Chordata	Aves	Accipitriformes	Accipitridae	Buteo	Buteo nitidus		SPECIES	Buteo nitidus (Latham, 1790)	Buteo nitidus	(Latham, 1790)	CO	Los Alpes	Córdoba	PRESENT	1	dbc2ab56-d499-403c-8db5-c1a49cd0b75f	8.488565	-75.364146			39.0	14.0			2022-08-03T00:00:00	3	8	2022	2480556	2480556	HUMAN_OBSERVATION	Promigas S.A E.S.P (Promigas)	MCUB		WilmerRamirez00528			CC_BY_NC_4_0		Wilmer Ramirez			2023-03-15T15:17:36.479Z		
4055583416	26776d49-2110-4201-b768-53e661fc2135	Promigas:Jobo-Sebastopol:WR0525	Animalia	Chordata	Aves	Galliformes	Cracidae	Ortalis	Ortalis garrula		SPECIES	Ortalis garrula (Humboldt, 1805)	Ortalis garrula	(Humboldt, 1805)	CO	Los Alpes	Córdoba	PRESENT	10	dbc2ab56-d499-403c-8db5-c1a49cd0b75f	8.488565	-75.364146			39.0	14.0			2022-08-03T00:00:00	3	8	2022	5229446	5229446	HUMAN_OBSERVATION	Promigas S.A E.S.P (Promigas)	MCUB		WilmerRamirez00525			CC_BY_NC_4_0		Wilmer Ramirez			2023-03-15T15:17:36.479Z		
4055583415	26776d49-2110-4201-b768-53e661fc2135	Promigas:Jobo-Sebastopol:WR0526	Animalia	Chordata	Aves	Pelecaniformes	Threskiornithidae	Phimosus	Phimosus infuscatus		SPECIES	Phimosus infuscatus (Lichtenstein, 1823)	Phimosus infuscatus	(Lichtenstein, 1823)	CO	Los Alpes	Córdoba	PRESENT	6	dbc2ab56-d499-403c-8db5-c1a49cd0b75f	8.488565	-75.364146			39.0	14.0			2022-08-03T00:00:00	3	8	2022	2480812	2480812	HUMAN_OBSERVATION	Promigas S.A E.S.P (Promigas)	MCUB		WilmerRamirez00526			CC_BY_NC_4_0		Wilmer Ramirez			2023-03-15T15:17:36.478Z		
4055583414	26776d49-2110-4201-b768-53e661fc2135	Promigas:Jobo-Sebastopol:WR0523	Animalia	Chordata	Aves	Charadriiformes	Charadriidae	Vanellus	Vanellus chilensis		SPECIES	Vanellus chilensis (Molina, 1782)	Vanellus chilensis	(Molina, 1782)	CO	Hacienda La Salomonica	Córdoba	PRESENT	1	dbc2ab56-d499-403c-8db5-c1a49cd0b75f	8.499683	-75.358271			39.0	14.0			2022-08-03T00:00:00	3	8	2022	5229146	5229146	HUMAN_OBSERVATION	Promigas S.A E.S.P (Promigas)	MCUB		WilmerRamirez00523			CC_BY_NC_4_0		Wilmer Ramirez			2023-03-15T15:17:36.478Z		
4055583413	26776d49-2110-4201-b768-53e661fc2135	Promigas:Jobo-Sebastopol:WR0524	Animalia	Chordata	Aves	Passeriformes	Furnariidae	Furnarius	Furnarius leucopus		SPECIES	Furnarius leucopus Swainson, 1838	Furnarius leucopus	Swainson, 1838	CO	Los Alpes	Córdoba	PRESENT	1	dbc2ab56-d499-403c-8db5-c1a49cd0b75f	8.488565	-75.364146			39.0	14.0			2022-08-03T00:00:00	3	8	2022	9309489	9309489	HUMAN_OBSERVATION	Promigas S.A E.S.P (Promigas)	MCUB		WilmerRamirez00524			CC_BY_NC_4_0		Wilmer Ramirez			2023-03-15T15:17:36.477Z		
4055583412	26776d49-2110-4201-b768-53e661fc2135	Promigas:Jobo-Sebastopol:WR0521	Animalia	Chordata	Aves	Gruiformes	Rallidae	Aramides	Aramides cajanea		SPECIES	Aramides cajanea (Statius Muller, 1776)	Aramides cajaneus	(Statius Muller, 1776)	CO	Hacienda La Salomonica	Córdoba	PRESENT	2	dbc2ab56-d499-403c-8db5-c1a49cd0b75f	8.499683	-75.358271			39.0	14.0			2022-08-03T00:00:00	3	8	2022	2474659	2474659	HUMAN_OBSERVATION	Promigas S.A E.S.P (Promigas)	MCUB		WilmerRamirez00521			CC_BY_NC_4_0		Wilmer Ramirez			2023-03-15T15:17:36.479Z		TAXON_MATCH_FUZZY
4055583411	26776d49-2110-4201-b768-53e661fc2135	Promigas:Jobo-Sebastopol:WR0522	Animalia	Chordata	Aves	Passeriformes	Corvidae	Cyanocorax	Cyanocorax affinis		SPECIES	Cyanocorax affinis Pelzeln, 1856	Cyanocorax affinis	Pelzeln, 1856	CO	Hacienda La Salomonica	Córdoba	PRESENT	6	dbc2ab56-d499-403c-8db5-c1a49cd0b75f	8.499683	-75.358271			39.0	14.0			2022-08-03T00:00:00	3	8	2022	2482559	2482559	HUMAN_OBSERVATION	Promigas S.A E.S.P (Promigas)	MCUB		WilmerRamirez00522			CC_BY_NC_4_0		Wilmer Ramirez			2023-03-15T15:17:36.477Z		
4055583410	26776d49-2110-4201-b768-53e661fc2135	Promigas:Jobo-Sebastopol:WR1882	Animalia	Chordata	Aves	Passeriformes	Thraupidae	Thraupis	Thraupis episcopus		SPECIES	Thraupis episcopus (Linnaeus, 1766)	Thraupis episcopus	(Linnaeus, 1766)	CO	El Limón Afuera	Antioquia	PRESENT	3	dbc2ab56-d499-403c-8db5-c1a49cd0b75f	7.461037	-74.866038			266.0	118.0			2022-08-22T00:00:00	22	8	2022	2488602	2488602	HUMAN_OBSERVATION	Promigas S.A E.S.P (Promigas)	MCUB		WilmerRamirez01882			CC_BY_NC_4_0		Wilmer Ramirez			2023-03-15T15:17:36.477Z		
